"year","var","prop","2.5 %","97.5 %","variable"
2010,"as.factor(CHECKUP_RULE_OUT_SYPHILIS)NO",43.9,40.6,47.1,"syphilis"
2010,"as.factor(CHECKUP_RULE_OUT_SYPHILIS)YES",56.1,52.9,59.4,"syphilis"
2015,"as.factor(CHECKUP_RULE_OUT_SYPHILIS)NO",21.2,19.4,23,"syphilis"
2015,"as.factor(CHECKUP_RULE_OUT_SYPHILIS)YES",78.8,77,80.6,"syphilis"
2019,"as.factor(CHECKUP_RULE_OUT_SYPHILIS)NO",18.3,16.8,19.8,"syphilis"
2019,"as.factor(CHECKUP_RULE_OUT_SYPHILIS)YES",81.7,80.2,83.2,"syphilis"
2021,"as.factor(CHECKUP_RULE_OUT_SYPHILIS)NO",18,16.4,19.6,"syphilis"
2021,"as.factor(CHECKUP_RULE_OUT_SYPHILIS)YES",82,80.4,83.6,"syphilis"
2010,"as.factor(CHECKUP_RULE_OUT_HIV)NO",23.8,21.1,26.4,"hiv"
2010,"as.factor(CHECKUP_RULE_OUT_HIV)YES",76.2,73.6,78.9,"hiv"
2015,"as.factor(CHECKUP_RULE_OUT_HIV)NO",10.1,8.9,11.3,"hiv"
2015,"as.factor(CHECKUP_RULE_OUT_HIV)YES",89.9,88.7,91.1,"hiv"
2019,"as.factor(CHECKUP_RULE_OUT_HIV)NO",8.4,7.4,9.5,"hiv"
2019,"as.factor(CHECKUP_RULE_OUT_HIV)YES",91.6,90.5,92.6,"hiv"
2021,"as.factor(CHECKUP_RULE_OUT_HIV)NO",9,7.8,10.2,"hiv"
2021,"as.factor(CHECKUP_RULE_OUT_HIV)YES",91,89.8,92.2,"hiv"
